"graduate" "gender" "salary" "grad_date" "college"
"75" 75 1 12500 1 4
"76" 76 0 16000 1 1
"77" 77 0 31600 1 1
"78" 78 1 30000 1 3
"79" 79 1 30600 1 7
"80" 80 1 31800 1 7
"81" 81 0 19000 1 4
"82" 82 0 22500 1 4
"83" 83 0 13000 1 4
"84" 84 1 17000 1 1
"85" 85 0 30400 1 1
"86" 86 1 28500 1 3
"87" 87 1 23000 1 4
"88" 88 1 25000 1 4
"89" 89 1 28000 1 4
"90" 90 0 35000 1 6
"91" 91 1 28600 1 3
"92" 92 0 14500 1 5
"93" 93 1 23600 1 4
"94" 94 1 32000 1 1
"95" 95 1 28400 1 7
"96" 96 1 31700 1 7
"97" 97 0 32000 1 1
"98" 98 0 20000 1 1
"99" 99 1 32400 1 7
"100" 100 0 19500 1 4
"101" 101 1 30000 1 7
"102" 102 1 25000 1 4
"103" 103 1 29000 1 1
"104" 104 1 23000 1 2
"105" 105 1 28500 1 3
"106" 106 1 34300 1 7
"107" 107 0 26000 1 7
"108" 108 1 17000 1 1
"109" 109 1 31000 1 7
"110" 110 0 18700 1 1
"111" 111 0 17000 1 1
"112" 112 0 32300 1 7
"113" 113 1 23000 1 3
"114" 114 0 16000 1 1
"115" 115 1 27500 1 4
"116" 116 0 23800 1 1
"117" 117 1 36000 1 7
"118" 118 1 17400 1 1
"119" 119 1 22000 1 7
"120" 120 1 23500 1 4
"121" 121 1 35000 1 7
"122" 122 1 32600 1 7
"123" 123 1 25300 1 7
"124" 124 1 23000 1 7
"125" 125 1 19800 1 6
"126" 126 1 28500 1 4
"127" 127 1 18000 1 1
"128" 128 1 27000 1 4
"129" 129 0 22000 1 1
"130" 130 0 24700 1 1
"131" 131 0 35400 1 7
"132" 132 1 33600 1 7
"133" 133 0 19500 1 1
"134" 134 1 26000 1 3
"135" 135 1 25000 1 1
"136" 136 1 27000 1 4
"137" 137 1 23500 1 4
"138" 138 1 15000 1 1
"139" 139 0 11000 1 1
"140" 140 1 27000 1 1
"141" 141 1 25500 1 7
"142" 142 1 23000 1 4
"143" 143 0 23000 1 4
"144" 144 1 30800 1 7
"145" 145 1 23500 1 5
"146" 146 1 22000 1 2
"147" 147 0 23000 1 4
"148" 148 1 16500 1 1
"149" 149 1 22100 1 1
"150" 150 1 36300 1 7
"151" 151 1 21600 1 1
"152" 152 0 33600 1 7
"153" 153 1 32600 1 7
"154" 154 0 14600 1 1
"155" 155 1 23000 1 4
"156" 156 1 30000 1 3
"157" 157 0 24000 1 1
"158" 158 0 30800 1 1
"159" 159 1 32000 1 4
"160" 160 0 20000 1 4
"161" 161 1 32000 1 7
"162" 162 1 19500 1 4
"163" 163 1 26000 1 4
"164" 164 0 21000 1 1
"165" 165 1 22500 1 4
"166" 166 0 20000 1 4
"167" 167 0 30600 1 7
"168" 168 1 37200 1 7
"169" 169 1 19000 1 1
"170" 170 1 34000 1 7
"171" 171 1 20100 1 1
"172" 172 1 33000 1 7
"173" 173 1 14400 1 1
"174" 174 1 20000 1 7
"175" 175 1 21000 1 4
"176" 176 1 31700 1 7
"177" 177 0 23000 1 4
"178" 178 0 17000 1 1
"179" 179 0 29500 1 7
"180" 180 0 28500 1 4
"181" 181 1 27600 1 3
"182" 182 0 25000 1 2
"183" 183 1 25000 1 4
"184" 184 0 25500 1 4
"185" 185 1 21000 1 1
"186" 186 1 24000 1 1
"187" 187 0 30200 1 1
"188" 188 0 32000 1 7
"189" 189 1 20000 1 4
"190" 190 1 35000 1 7
"191" 191 1 21000 1 1
"192" 192 1 22000 1 1
"193" 193 1 34000 1 7
"194" 194 0 20000 1 1
"195" 195 0 8500 1 7
"196" 196 1 15000 1 1
"197" 197 1 29100 1 3
"198" 198 0 26000 1 4
"199" 199 1 28500 1 4
"200" 200 1 33600 1 7
"201" 201 1 27000 1 3
"202" 202 1 29000 1 4
"203" 203 0 27600 1 4
"204" 204 1 21000 1 3
"205" 205 1 28500 1 4
"206" 206 0 23000 1 4
"207" 207 1 26000 1 3
"208" 208 1 43000 1 4
"209" 209 0 19000 1 1
"210" 210 1 33500 1 7
"211" 211 1 32000 1 7
"212" 212 0 30400 1 1
"213" 213 0 21500 1 1
"214" 214 0 9000 1 1
"215" 215 1 29000 1 1
"216" 216 1 25025 1 4
"217" 217 1 31000 1 7
"218" 218 1 26000 1 4
"219" 219 0 22100 1 1
"220" 220 1 18000 1 4
"221" 221 0 26000 1 4
"222" 222 1 25000 1 4
"223" 223 1 24000 1 1
"224" 224 0 17000 1 1
"225" 225 0 26800 1 7
"226" 226 1 21000 1 1
"227" 227 0 25500 1 7
"228" 228 1 26500 1 7
"229" 229 0 32100 1 7
"230" 230 0 26000 1 1
"231" 231 0 18500 1 1
"232" 232 0 35500 1 7
"233" 233 1 29000 1 4
"234" 234 1 28000 1 4
"235" 235 1 44000 1 7
"236" 236 1 31200 1 7
"237" 237 1 20800 1 4
"238" 238 1 30100 1 1
"239" 239 0 22500 1 4
"240" 240 1 28700 1 1
"241" 241 0 15600 1 1
"242" 242 0 12000 1 1
"243" 243 0 20000 1 4
"244" 244 1 32000 1 7
"245" 245 1 22000 1 4
"246" 246 0 34000 1 7
"247" 247 0 22000 1 6
"248" 248 1 22500 1 4
"249" 249 0 23000 1 4
"250" 250 1 25900 1 4
"251" 251 1 25000 1 4
"252" 252 1 22000 1 4
"253" 253 1 28300 1 7
"254" 254 1 22500 1 1
"255" 255 1 22000 1 4
"256" 256 1 19000 1 4
"257" 257 0 22500 1 1
"258" 258 1 22000 1 4
"259" 259 0 22000 2 1
"260" 260 1 27500 2 3
"261" 261 1 20000 2 1
"262" 262 1 35000 2 4
"263" 263 1 21100 2 7
"264" 264 0 28500 2 7
"265" 265 1 16300 2 1
"266" 266 1 27400 2 7
"267" 267 0 24000 2 1
"268" 268 1 36600 2 7
"269" 269 1 19200 2 1
"270" 270 0 20000 2 1
"271" 271 0 45000 2 1
"272" 272 0 26400 2 3
"273" 273 0 24700 2 1
"274" 274 1 28000 2 7
"275" 275 1 15000 2 4
"276" 276 0 44000 2 1
"277" 277 1 16000 2 1
"278" 278 0 28800 2 4
"279" 279 0 28000 2 1
"280" 280 1 29000 2 4
"281" 281 0 29500 2 4
"282" 282 1 38500 2 7
"283" 283 0 25000 2 1
"284" 284 0 36200 2 7
"285" 285 1 21000 2 4
"286" 286 0 32500 2 4
"287" 287 1 31800 2 7
"288" 288 1 27100 2 3
"289" 289 1 10000 2 1
"290" 290 1 32200 2 7
"291" 291 0 28000 2 4
"292" 292 0 20000 2 4
"293" 293 1 21500 2 4
"294" 294 1 22000 2 4
"295" 295 1 24000 2 1
"296" 296 1 29000 2 4
"297" 297 0 40000 2 4
"298" 298 1 21000 2 4
"299" 299 1 40000 2 4
"300" 300 1 33000 2 7
"301" 301 1 25600 2 7
"302" 302 1 33000 2 7
"303" 303 1 24000 2 4
"304" 304 0 27600 2 1
"305" 305 0 29000 2 4
"306" 306 0 29900 2 1
"307" 307 1 20000 2 4
"308" 308 0 18000 2 1
"309" 309 1 22000 2 4
"310" 310 1 33000 2 7
"311" 311 0 23000 2 1
"312" 312 0 27300 2 1
"313" 313 0 23000 2 4
"314" 314 0 28000 2 4
"315" 315 0 25000 2 1
"316" 316 1 13000 2 4
"317" 317 0 20000 2 4
"318" 318 1 30000 2 7
"319" 319 1 33200 2 7
"320" 320 0 24000 2 4
"321" 321 0 22000 2 1
"322" 322 1 25000 2 4
"323" 323 1 29100 2 7
"324" 324 1 27600 2 4
"325" 325 1 30600 2 7
"326" 326 1 24000 2 4
"327" 327 1 47000 2 1
"328" 328 1 25000 2 7
"329" 329 1 28000 2 3
"330" 330 0 27000 2 1
"331" 331 1 35000 2 7
"332" 332 0 26000 2 4
"333" 333 0 24600 2 1
"334" 334 0 17000 2 1
"335" 335 1 28500 2 4
"336" 336 0 22000 2 1
"337" 337 1 32000 2 7
"338" 338 0 30000 2 7
"339" 339 1 25500 2 1
"340" 340 0 19000 2 4
"341" 341 1 12000 2 7
"342" 342 0 12600 2 1
"343" 343 0 25500 2 6
"344" 344 1 26300 2 7
"345" 345 0 21000 2 4
"346" 346 1 31000 2 7
"347" 347 0 25000 2 1
"348" 348 1 30000 2 4
"349" 349 1 26400 2 7
"350" 350 1 31500 2 7
"351" 351 1 32400 2 7
"352" 352 1 24000 2 4
"353" 353 1 24000 2 1
"354" 354 1 33600 2 7
"355" 355 0 20000 2 1
"356" 356 1 28000 2 3
"357" 357 1 25200 2 1
"358" 358 1 20000 2 1
"359" 359 1 23000 2 1
"360" 360 1 31500 2 7
"361" 361 0 27500 2 4
"362" 362 1 35400 2 7
"363" 363 0 28000 2 4
"364" 364 1 24500 2 3
"365" 365 1 33800 2 7
"366" 366 0 27000 2 4
"367" 367 1 30600 2 7
"368" 368 1 34200 2 7
"369" 369 1 28000 2 3
"370" 370 1 30900 2 7
"371" 371 0 31200 2 1
"372" 372 1 31200 2 7
"373" 373 0 24000 2 1
"374" 374 1 35200 2 7
"375" 375 1 26300 2 7
"376" 376 0 33000 2 7
"377" 377 0 25000 2 4
"378" 378 0 34800 2 7
"379" 379 1 19500 2 1
"380" 380 1 28000 2 1
"381" 381 0 30000 2 3
"382" 382 1 32100 2 7
"383" 383 1 32400 2 7
"384" 384 1 23000 2 4
"385" 385 1 17000 2 1
"386" 386 0 30000 2 1
"387" 387 1 15000 2 1
"388" 388 0 13000 2 1
"389" 389 1 25000 2 4
"390" 390 1 20000 2 1
"391" 391 0 23000 2 4
"392" 392 1 30700 2 7
"393" 393 1 20000 2 4
"394" 394 0 26000 2 6
"395" 395 1 33000 2 7
"396" 396 0 36400 2 3
"397" 397 0 19000 2 4
"398" 398 0 20000 2 4
"399" 399 1 28100 2 3
"400" 400 1 23200 2 2
"401" 401 1 20000 2 1
"402" 402 1 12000 2 2
"403" 403 0 18000 2 1
"404" 404 1 31500 2 7
"405" 405 0 16000 2 1
"406" 406 1 42000 2 4
"407" 407 1 36400 2 7
"408" 408 0 20000 2 1
"409" 409 1 30000 2 1
"410" 410 0 20000 2 1
"411" 411 1 33500 2 4
"412" 412 1 15000 2 1
"413" 413 0 27000 2 1
"414" 414 1 27000 2 4
"415" 415 0 27000 2 4
"416" 416 1 17000 2 1
"417" 417 0 20000 2 1
"418" 418 1 28000 2 3
"419" 419 0 17000 2 1
"420" 420 1 27000 2 3
"421" 421 1 8400 2 7
"422" 422 0 27900 2 1
"423" 423 1 25000 2 3
"424" 424 1 17000 2 4
"425" 425 1 36000 2 7
"426" 426 1 27500 2 7
"427" 427 0 30000 2 1
"428" 428 1 25500 2 7
"429" 429 1 16600 2 1
"430" 430 0 23000 2 4
"431" 431 0 31400 2 7
"432" 432 1 28600 2 3
"433" 433 0 30000 2 1
"434" 434 1 26200 2 7
"435" 435 1 26500 2 7
"436" 436 0 20000 2 1
"437" 437 0 26500 2 4
"438" 438 1 25000 2 1
"439" 439 0 20000 2 6
"440" 440 1 30400 2 7
"441" 441 0 21000 2 1
"442" 442 1 31200 2 7
"443" 443 0 17000 2 1
"444" 444 1 32200 2 7
"445" 445 0 13800 2 1
"446" 446 1 18000 2 1
"447" 447 0 25000 2 1
"448" 448 1 31500 2 3
"449" 449 1 29000 2 7
"450" 450 0 33400 2 1
"451" 451 1 32200 2 7
"452" 452 1 32000 2 1
"453" 453 0 26000 2 1
"454" 454 1 31300 2 7
"455" 455 1 17500 2 1
"456" 456 1 20000 2 2
"457" 457 1 30000 2 3
"458" 458 1 25000 2 1
"459" 459 1 52000 2 1
"460" 460 0 27000 2 1
"461" 461 1 25500 2 3
"462" 462 1 30000 2 3
"463" 463 0 26000 2 1
"464" 464 1 35300 2 7
"465" 465 1 19000 2 1
"466" 466 1 36000 2 7
"467" 467 0 10000 2 1
"468" 468 0 29200 2 1
"469" 469 0 24200 2 1
"470" 470 0 21100 2 1
"471" 471 0 25000 2 7
"472" 472 1 35400 2 7
"473" 473 1 32700 2 7
"474" 474 0 12000 2 1
"475" 475 0 20000 2 1
"476" 476 1 30000 2 4
"477" 477 1 34000 2 4
"478" 478 0 25000 2 4
"479" 479 1 23000 2 4
"480" 480 1 21000 2 1
"481" 481 1 23000 2 4
"482" 482 0 20600 2 4
"483" 483 1 28300 2 7
"484" 484 1 33000 2 7
"485" 485 1 23000 2 7
"486" 486 0 30000 2 1
"487" 487 1 29400 2 4
"488" 488 1 20000 2 1
"489" 489 0 20000 2 1
"490" 490 1 20000 2 1
"491" 491 0 30600 2 1
"492" 492 0 18500 2 1
"493" 493 0 22700 2 1
"494" 494 0 26500 2 1
"495" 495 0 26000 2 7
"496" 496 0 24500 2 4
"497" 497 0 24100 2 1
"498" 498 0 20200 2 1
"499" 499 1 26500 2 7
"500" 500 1 28800 2 3
"501" 501 0 15000 2 1
"502" 502 1 23000 2 4
"503" 503 0 24000 2 4
"504" 504 1 21200 2 7
"505" 505 0 27900 2 1
"506" 506 0 29000 2 4
"507" 507 0 25000 2 4
"508" 508 0 28000 2 4
"509" 509 0 30900 2 1
"510" 510 1 32000 2 7
"511" 511 1 24000 2 4
"512" 512 1 29500 2 4
"513" 513 1 31000 2 7
"514" 514 0 26400 2 7
"515" 515 1 32500 2 7
"516" 516 0 23000 2 4
"517" 517 0 11200 2 1
"518" 518 1 34200 2 7
"519" 519 0 26000 2 4
"520" 520 0 26000 2 4
"521" 521 1 8000 2 1
"522" 522 1 33000 2 7
"523" 523 0 28000 2 4
"524" 524 1 20000 2 1
"525" 525 1 27500 2 4
"526" 526 1 32000 2 7
"527" 527 0 20500 2 4
"528" 528 0 32000 2 1
"529" 529 1 20000 2 4
"530" 530 0 16500 2 1
"531" 531 1 24000 2 4
"532" 532 1 22000 2 4
"533" 533 0 28000 2 1
"534" 534 0 19000 2 4
"535" 535 0 34200 2 7
"536" 536 1 29000 2 7
"537" 537 1 12000 2 1
"538" 538 0 24000 2 1
"539" 539 1 27800 2 4
"540" 540 1 33500 2 7
"541" 541 1 33000 2 7
"542" 542 1 34000 2 7
"543" 543 0 20000 2 1
"544" 544 1 27000 2 3
"545" 545 0 46000 2 1
"546" 546 0 39000 2 1
"547" 547 1 32000 2 1
"548" 548 1 33200 2 7
"549" 549 0 29000 2 1
"550" 550 0 36500 2 7
"551" 551 1 32000 2 7
"552" 552 1 33700 2 7
"553" 553 1 18000 2 4
"554" 554 1 28000 2 1
"555" 555 1 29000 2 3
"556" 556 1 26300 2 7
"557" 557 0 38000 2 1
"558" 558 0 17000 2 1
"559" 559 1 28000 2 3
"560" 560 1 18000 2 1
"561" 561 0 29500 2 4
"562" 562 1 20000 2 4
"563" 563 1 24000 2 1
"564" 564 0 10800 2 1
"565" 565 1 22500 2 4
"566" 566 0 22000 2 6
"567" 567 0 20600 2 4
"568" 568 1 65500 2 4
"569" 569 1 20500 2 4
"570" 570 1 19000 2 1
"571" 571 0 17000 2 2
"572" 572 1 31400 2 7
"573" 573 1 28000 2 3
"574" 574 0 15000 2 1
"575" 575 1 27500 2 1
"576" 576 1 22300 2 1
"577" 577 1 34800 2 7
"578" 578 0 25000 2 4
"579" 579 0 25000 2 1
"580" 580 1 35700 2 7
"581" 581 0 26500 2 3
"582" 582 0 25000 2 1
"583" 583 1 31500 2 7
"584" 584 0 30000 2 1
"585" 585 1 30200 2 7
"586" 586 1 25000 2 7
"587" 587 0 20000 2 1
"588" 588 1 21000 2 4
"589" 589 1 32700 2 7
"590" 590 0 13500 2 1
"591" 591 0 8400 2 1
"592" 592 1 25000 2 7
"593" 593 1 28000 2 4
"594" 594 1 21000 2 4
"595" 595 0 30000 2 1
"596" 596 0 17000 2 1
"597" 597 0 28500 2 4
"598" 598 0 26000 2 4
"599" 599 0 24000 2 1
"600" 600 1 15000 2 1
"601" 601 1 27800 2 7
"602" 602 0 20000 2 6
"603" 603 0 39500 2 1
"604" 604 1 12500 2 1
"605" 605 1 33900 2 7
"606" 606 0 28000 2 4
"607" 607 1 26000 2 7
"608" 608 0 22500 2 4
"609" 609 0 20000 2 4
"610" 610 0 27500 2 1
"611" 611 0 24200 2 1
"612" 612 1 24500 2 4
"613" 613 0 29500 2 1
"614" 614 0 25000 2 1
"615" 615 0 34200 2 7
"616" 616 0 23700 2 1
"617" 617 1 25700 2 1
"618" 618 1 29000 2 3
"619" 619 1 25200 2 7
"620" 620 1 24000 2 4
"621" 621 0 30300 2 1
"622" 622 0 20000 2 1
"623" 623 0 22000 2 1
"624" 624 0 20000 2 4
"625" 625 0 24000 2 4
"626" 626 0 28500 2 4
"627" 627 1 21200 2 7
"628" 628 0 31600 2 1
"629" 629 1 27000 2 4
"630" 630 1 50000 2 4
"631" 631 1 8600 2 7
"632" 632 1 28000 2 4
"633" 633 1 28800 2 7
"634" 634 1 25000 2 4
"635" 635 0 21700 2 1
"636" 636 0 30000 2 4
"637" 637 1 25000 2 4
"638" 638 1 18000 2 1
"639" 639 0 21000 2 4
"640" 640 0 11000 2 6
"641" 641 1 22000 2 4
"642" 642 0 26200 2 1
"643" 643 1 34500 2 7
"644" 644 0 24000 2 1
"645" 645 1 20500 2 4
"646" 646 1 20000 2 1
"647" 647 1 32100 2 7
"648" 648 1 32600 2 7
"649" 649 1 31500 2 7
"650" 650 0 9000 2 1
"651" 651 0 22000 2 1
"652" 652 0 24000 2 1
"653" 653 0 33200 2 7
"654" 654 0 11500 3 1
"655" 655 1 32500 3 7
"656" 656 0 29500 3 4
"657" 657 1 32000 3 7
"658" 658 1 24500 3 4
"659" 659 0 25000 3 1
"660" 660 0 13000 3 4
"661" 661 0 20000 3 1
"662" 662 1 31500 3 7
"663" 663 0 49000 3 1
"664" 664 0 32600 3 7
"665" 665 1 21500 3 1
"666" 666 1 16000 3 1
"667" 667 0 21000 3 1
"668" 668 1 20000 3 4
"669" 669 1 26300 3 3
"670" 670 0 30000 3 1
"671" 671 1 22300 3 1
"672" 672 1 17400 3 1
"673" 673 0 30000 3 1
"674" 674 0 31000 3 1
"675" 675 1 21000 3 4
"676" 676 0 27000 3 1
"677" 677 1 17000 3 3
"678" 678 1 25000 3 4
"679" 679 1 20000 3 1
"680" 680 1 15000 3 4
"681" 681 1 35000 3 7
"682" 682 0 21000 3 4
"683" 683 1 26200 3 4
"684" 684 0 38000 3 1
"685" 685 0 29000 3 4
"686" 686 1 18000 3 7
"687" 687 1 19000 3 7
"688" 688 1 40000 3 1
"689" 689 0 25000 3 1
"690" 690 1 31000 3 1
"691" 691 0 22500 3 4
"692" 692 1 33700 3 7
"693" 693 0 20000 3 4
"694" 694 1 22800 3 4
"695" 695 1 30000 3 4
"696" 696 1 23000 3 4
"697" 697 1 28000 3 4
"698" 698 1 20000 3 4
"699" 699 1 38400 3 7
"700" 700 0 37500 3 1
"701" 701 1 38400 3 7
"702" 702 0 31000 3 7
"703" 703 1 26000 3 4
"704" 704 0 15000 3 1
"705" 705 1 21000 3 1
"706" 706 1 25000 3 4
"707" 707 0 20000 3 1
"708" 708 1 22000 3 1
"709" 709 1 19200 3 1
"710" 710 0 26000 3 1
"711" 711 1 20500 3 1
"712" 712 0 23000 3 1
"713" 713 0 30000 3 4
"714" 714 1 31000 3 1
"715" 715 1 23500 3 4
"716" 716 1 29300 3 7
"717" 717 1 29500 3 3
"718" 718 0 31600 3 1
"719" 719 1 26000 3 7
"720" 720 0 18000 3 1
"721" 721 0 24000 3 1
"722" 722 1 30000 3 1
"723" 723 0 17200 3 1
"724" 724 1 18000 3 7
"725" 725 1 28600 3 3
"726" 726 1 35200 3 7
"727" 727 0 27000 3 4
"728" 728 0 26500 3 1
"729" 729 0 32000 3 1
"730" 730 1 31200 3 1
"731" 731 1 30000 3 4
"732" 732 0 30000 3 1
"733" 733 1 32000 3 7
"734" 734 1 30000 3 4
"735" 735 0 29000 3 4
"736" 736 1 37200 3 7
"737" 737 0 23000 3 1
"738" 738 0 21000 3 1
"739" 739 1 21000 3 1
"740" 740 1 38200 3 7
"741" 741 0 40000 3 1
"742" 742 0 23000 3 4
"743" 743 1 18900 3 7
"744" 744 0 12000 3 1
"745" 745 1 31200 3 3
"746" 746 1 22000 3 7
"747" 747 1 37100 3 7
"748" 748 0 22000 3 1
"749" 749 0 27500 3 1
"750" 750 1 30000 3 4
"751" 751 0 34000 3 1
"752" 752 0 21000 3 4
"753" 753 0 40000 3 1
"754" 754 0 29000 3 1
"755" 755 1 40000 3 1
"756" 756 0 20000 3 4
"757" 757 1 29000 3 4
"758" 758 1 32100 3 3
"759" 759 1 21100 3 1
"760" 760 1 34900 3 7
"761" 761 1 26000 3 7
"762" 762 0 18000 3 4
"763" 763 0 26000 3 4
"764" 764 1 25000 3 4
"765" 765 1 60000 3 4
"766" 766 1 29400 3 4
"767" 767 0 23000 3 4
"768" 768 1 35000 3 1
"769" 769 1 29000 3 4
"770" 770 0 32000 3 1
"771" 771 1 34300 3 7
"772" 772 1 25000 3 4
"773" 773 1 20000 3 4
"774" 774 1 32000 3 7
"775" 775 0 33800 3 7
"776" 776 1 27200 3 7
"777" 777 1 25000 3 4
"778" 778 0 20000 3 1
"779" 779 1 33000 3 7
"780" 780 0 23000 3 4
"781" 781 0 22000 3 4
"782" 782 0 35900 3 7
"783" 783 0 10000 3 1
"784" 784 1 29000 3 3
"785" 785 0 19500 3 4
"786" 786 0 20000 3 1
"787" 787 1 30000 3 7
"788" 788 1 40000 3 7
"789" 789 1 34200 3 7
"790" 790 0 28000 3 1
"791" 791 0 20000 3 4
"792" 792 1 34500 3 7
"793" 793 0 15000 3 1
"794" 794 1 22000 3 1
"795" 795 1 30000 3 1
"796" 796 0 23000 3 4
"797" 797 0 17000 3 1
"798" 798 0 33600 3 7
"799" 799 0 17900 3 1
"800" 800 1 42000 3 4
"801" 801 1 31100 3 7
"802" 802 1 23000 3 1
"803" 803 1 28500 3 4
"804" 804 1 31600 3 7
"805" 805 1 23500 3 4
"806" 806 0 16000 3 1
"807" 807 1 26400 3 4
"808" 808 1 21000 3 4
"809" 809 1 20000 3 4
"810" 810 1 27500 3 4
"811" 811 1 32800 3 4
"812" 812 0 16600 3 1
"813" 813 0 30000 3 1
"814" 814 1 23000 3 4
"815" 815 1 17000 3 1
"816" 816 0 20000 3 4
"817" 817 0 20000 3 6
"818" 818 0 20000 3 4
"819" 819 0 19000 3 1
"820" 820 1 26000 3 7
"821" 821 1 21000 3 4
"822" 822 0 34100 3 7
"823" 823 1 31800 3 7
"824" 824 0 24000 3 4
"825" 825 0 23000 3 4
"826" 826 1 24000 3 4
"827" 827 1 21700 3 4
"828" 828 1 25500 3 4
"829" 829 1 27000 3 4
"830" 830 0 23000 3 4
"831" 831 1 20000 3 4
"832" 832 1 20000 3 1
"833" 833 1 24000 3 4
"834" 834 1 26000 3 7
"835" 835 1 42000 3 3
"836" 836 1 23000 3 4
"837" 837 1 20000 3 4
"838" 838 1 28000 3 7
"839" 839 0 21000 3 4
"840" 840 1 27000 3 4
"841" 841 1 30200 3 4
"842" 842 1 18000 3 1
"843" 843 0 31500 3 4
"844" 844 0 18000 3 4
"845" 845 1 17000 3 4
"846" 846 0 21000 3 1
"847" 847 0 20000 3 1
"848" 848 1 26500 3 4
"849" 849 0 29500 3 4
"850" 850 0 20000 3 4
"851" 851 0 27000 3 1
"852" 852 0 23000 3 4
"853" 853 1 32000 3 7
"854" 854 1 20000 3 4
"855" 855 1 20000 3 4
"856" 856 1 32900 3 7
"857" 857 0 21000 3 6
"858" 858 1 25000 3 4
"859" 859 0 34200 3 7
"860" 860 1 33700 3 7
"861" 861 1 22000 3 7
"862" 862 1 26500 3 4
"863" 863 0 21000 3 1
"864" 864 0 32500 3 7
"865" 865 1 34500 3 7
"866" 866 0 23000 3 4
"867" 867 0 24000 3 4
"868" 868 1 20000 3 4
"869" 869 0 16500 3 1
"870" 870 1 33800 3 1
"871" 871 1 28000 3 4
"872" 872 0 15600 3 1
"873" 873 1 26000 3 1
"874" 874 1 33700 3 7
"875" 875 0 30800 3 4
"876" 876 0 27500 3 1
"877" 877 1 29000 3 4
"878" 878 1 22000 4 7
"879" 879 1 34500 4 7
"880" 880 1 30000 4 7
"881" 881 0 35300 4 1
"882" 882 1 28500 4 4
"883" 883 1 22000 4 1
"884" 884 1 18000 4 1
"885" 885 1 23000 4 4
"886" 886 0 33000 4 1
"887" 887 0 24000 4 1
"888" 888 1 20000 4 4
"889" 889 1 27000 4 3
"890" 890 1 26000 4 3
"891" 891 1 30000 4 1
"892" 892 1 20000 4 1
"893" 893 0 25000 4 1
"894" 894 0 27500 4 1
"895" 895 0 30000 4 7
"896" 896 1 27400 4 7
"897" 897 1 18000 4 1
"898" 898 1 38000 4 7
"899" 899 1 25000 4 1
"900" 900 1 23100 4 7
"901" 901 1 22400 4 4
"902" 902 1 38000 4 7
"903" 903 1 35900 4 7
"904" 904 0 21000 4 1
"905" 905 0 26000 4 1
"906" 906 1 33000 4 7
"907" 907 1 23000 4 7
"908" 908 1 26500 4 7
"909" 909 0 31200 4 7
"910" 910 0 22000 4 4
"911" 911 1 28000 4 1
"912" 912 0 25000 4 1
"913" 913 0 23000 4 1
"914" 914 0 31000 4 1
"915" 915 1 51500 4 1
"916" 916 1 20000 4 1
"917" 917 1 31000 4 1
"918" 918 0 12000 4 1
"919" 919 1 18000 4 1
"920" 920 0 25000 4 1
"921" 921 0 20000 4 1
"922" 922 0 29100 4 1
"923" 923 0 17500 4 1
"924" 924 1 19500 4 1
"925" 925 0 48000 4 1
"926" 926 1 36700 4 7
"927" 927 1 12000 4 1
"928" 928 0 33000 4 1
"929" 929 0 24600 4 4
"930" 930 1 35000 4 2
